phi,M,eps_cm,c
0,0,0,6
1.55897e-05,75192.8,9.5e-05,6.09376
3.3224e-05,132982,0.00019,5.71876
5.52727e-05,181061,0.000285,5.15626
7.9477e-05,229886,0.00038,4.78126
0.000103401,278065,0.000475,4.59376
0.000124081,320627,0.00057,4.59376
0.000150922,373095,0.000665,4.40626
0.000172482,416161,0.00076,4.40626
0.000194042,458796,0.000855,4.40626
0.000215602,500975,0.00095,4.40626
0.000237163,542668,0.001045,4.40626
0.000258723,583873,0.00114,4.40626
0.000280283,624565,0.001235,4.40626
0.000301843,664744,0.00133,4.40626
0.000323404,704401,0.001425,4.40626
0.000377054,708243,0.00152,4.03126
0.000400619,716084,0.001615,4.03126
0.000444877,716515,0.00171,3.84376
0.000493674,715828,0.001805,3.65626
0.000547746,714280,0.0019,3.46876
0.000575134,718227,0.001995,3.46876
0.000636951,715153,0.00209,3.28126
0.000665903,717900,0.002185,3.28126
0.000736968,713896,0.00228,3.09376
0.000767675,715747,0.002375,3.09376
0.000798382,717455,0.00247,3.09376
0.000882578,712614,0.002565,2.90626
0.000915266,713720,0.00266,2.90626
0.000947954,714752,0.002755,2.90626
0.000980642,715721,0.00285,2.90626
0.00101333,716637,0.002945,2.90626
0.00111816,710997,0.00304,2.71876
0.0011531,711528,0.003135,2.71876
0.00118804,712030,0.00323,2.71876
0.00122298,712509,0.003325,2.71876
0.00125793,712966,0.00342,2.71876
0.00129287,713406,0.003515,2.71876
0.00132781,713831,0.00361,2.71876
0.0014637,707914,0.003705,2.53126
0.00150123,708085,0.0038,2.53126
0.00153876,703724,0.003895,2.53126
0.00146758,706112,0.00399,2.71876
0.00150252,702488,0.004085,2.71876
0.00153747,697018,0.00418,2.71876
0.00157241,693595,0.004275,2.71876
0.00160735,690252,0.00437,2.71876
0.00164229,688788,0.004465,2.71876
0.00167724,685566,0.00456,2.71876
0.00171218,682425,0.004655,2.71876
0.00174712,681060,0.00475,2.71876
